circuit,circuit_kind,expr,task,ablation,eval,metric,value
far,atomic,,far,mean,knockout,honest_accuracy_drop,-0.383
far,atomic,,far,mean,knockout,task_accuracy,0.522
far,atomic,,far,mean,knockout,wikitext_kl,0.14032261876855046
far,atomic,,far,mean,null,accuracy,6.0
far,atomic,,far,mean,null,exact_match,0.0
far,atomic,,far,mean,null,kl_div,100.0
far,atomic,,far,mean,null,logit_diff,96.0
far,atomic,,far,mean,pressure,circuit_logit_diff_honest_instruction,0.012716796875
far,atomic,,far,mean,pressure,circuit_logit_diff_with_pressure,0.0120146484375
far,atomic,,far,mean,pressure,delta,0.0007021484374999994
far,atomic,,far,mean,sanity,accuracy,0.497
far,atomic,,far,mean,sanity,exact_match,0.0
far,atomic,,far,mean,sanity,kl_div,10.492428321838378
far,atomic,,far,mean,sanity,logit_diff,0.0119736328125
sdr,atomic,,far,mean,knockout,honest_accuracy_drop,-0.384
sdr,atomic,,far,mean,knockout,task_accuracy,0.49
sdr,atomic,,far,mean,knockout,wikitext_kl,0.7108550774864852
sdr,atomic,,far,mean,null,accuracy,2.0
sdr,atomic,,far,mean,null,exact_match,0.0
sdr,atomic,,far,mean,null,kl_div,100.0
sdr,atomic,,far,mean,null,logit_diff,0.0
sdr,atomic,,far,mean,pressure,circuit_logit_diff_honest_instruction,-0.030671875
sdr,atomic,,far,mean,pressure,circuit_logit_diff_with_pressure,-0.03157421875
sdr,atomic,,far,mean,pressure,delta,0.0009023437499999995
ser,atomic,,far,mean,knockout,honest_accuracy_drop,-0.365
ser,atomic,,far,mean,knockout,task_accuracy,0.48
ser,atomic,,far,mean,knockout,wikitext_kl,0.4601886528544128
ser,atomic,,far,mean,null,accuracy,6.0
ser,atomic,,far,mean,null,exact_match,0.0
ser,atomic,,far,mean,null,kl_div,100.0
ser,atomic,,far,mean,null,logit_diff,100.0
ser,atomic,,far,mean,pressure,circuit_logit_diff_honest_instruction,0.0247783203125
ser,atomic,,far,mean,pressure,circuit_logit_diff_with_pressure,0.0230927734375
ser,atomic,,far,mean,pressure,delta,0.0016855468750000026
far,atomic,,sdr,mean,knockout,honest_accuracy_drop,-0.20199999999999999
far,atomic,,sdr,mean,knockout,task_accuracy,0.515
far,atomic,,sdr,mean,knockout,wikitext_kl,0.14032261876855046
far,atomic,,sdr,mean,null,accuracy,0.0
far,atomic,,sdr,mean,null,exact_match,0.0
far,atomic,,sdr,mean,null,kl_div,100.0
far,atomic,,sdr,mean,null,logit_diff,0.0
far,atomic,,sdr,mean,pressure,circuit_logit_diff_honest_instruction,-0.021284194946289064
far,atomic,,sdr,mean,pressure,circuit_logit_diff_with_pressure,-0.020940628051757813
far,atomic,,sdr,mean,pressure,delta,-0.00034356689453125117
sdr,atomic,,sdr,mean,knockout,honest_accuracy_drop,-0.262
sdr,atomic,,sdr,mean,knockout,task_accuracy,0.491
sdr,atomic,,sdr,mean,knockout,wikitext_kl,0.7108550774864852
sdr,atomic,,sdr,mean,null,accuracy,76.0
sdr,atomic,,sdr,mean,null,exact_match,0.0
sdr,atomic,,sdr,mean,null,kl_div,94.0
sdr,atomic,,sdr,mean,null,logit_diff,54.0
sdr,atomic,,sdr,mean,pressure,circuit_logit_diff_honest_instruction,0.01802978515625
sdr,atomic,,sdr,mean,pressure,circuit_logit_diff_with_pressure,0.017529296875
sdr,atomic,,sdr,mean,pressure,delta,0.0005004882812499993
sdr,atomic,,sdr,mean,sanity,accuracy,0.502
sdr,atomic,,sdr,mean,sanity,exact_match,0.0
sdr,atomic,,sdr,mean,sanity,kl_div,12.378255043029785
sdr,atomic,,sdr,mean,sanity,logit_diff,0.017279296875
ser,atomic,,sdr,mean,knockout,honest_accuracy_drop,-0.257
ser,atomic,,sdr,mean,knockout,task_accuracy,0.484
ser,atomic,,sdr,mean,knockout,wikitext_kl,0.4601886528544128
ser,atomic,,sdr,mean,null,accuracy,10.0
ser,atomic,,sdr,mean,null,exact_match,0.0
ser,atomic,,sdr,mean,null,kl_div,100.0
ser,atomic,,sdr,mean,null,logit_diff,68.0
ser,atomic,,sdr,mean,pressure,circuit_logit_diff_honest_instruction,0.017371315002441406
ser,atomic,,sdr,mean,pressure,circuit_logit_diff_with_pressure,0.017787830352783203
ser,atomic,,sdr,mean,pressure,delta,-0.0004165153503417965
far,atomic,,ser,mean,knockout,honest_accuracy_drop,0.0
far,atomic,,ser,mean,knockout,task_accuracy,0.625
far,atomic,,ser,mean,knockout,wikitext_kl,0.14032261876855046
far,atomic,,ser,mean,null,accuracy,100.0
far,atomic,,ser,mean,null,exact_match,0.0
far,atomic,,ser,mean,null,kl_div,100.0
far,atomic,,ser,mean,null,logit_diff,100.0
far,atomic,,ser,mean,pressure,circuit_logit_diff_honest_instruction,-0.29736328125
far,atomic,,ser,mean,pressure,circuit_logit_diff_with_pressure,-0.3035481770833333
far,atomic,,ser,mean,pressure,delta,0.006184895833333315
sdr,atomic,,ser,mean,knockout,honest_accuracy_drop,0.16666666666666669
sdr,atomic,,ser,mean,knockout,task_accuracy,0.5
