circuit,circuit_kind,expr,task,ablation,eval,metric,value
shared__leaf,leaf,far & sdr & ser,far,interchange,knockout,honest_accuracy_drop,-0.683
shared__leaf,leaf,far & sdr & ser,far,interchange,knockout,task_accuracy,0.007
shared__leaf,leaf,far & sdr & ser,far,interchange,knockout,wikitext_kl,0.07478872014326043
shared__leaf,leaf,far & sdr & ser,far,interchange,null,accuracy,0.0
shared__leaf,leaf,far & sdr & ser,far,interchange,null,exact_match,0.0
shared__leaf,leaf,far & sdr & ser,far,interchange,null,kl_div,100.0
shared__leaf,leaf,far & sdr & ser,far,interchange,null,logit_diff,100.0
shared__leaf,leaf,far & sdr & ser,far,interchange,pressure,circuit_logit_diff_honest_instruction,1.38075
shared__leaf,leaf,far & sdr & ser,far,interchange,pressure,circuit_logit_diff_with_pressure,-2.12325
shared__leaf,leaf,far & sdr & ser,far,interchange,pressure,delta,3.504
shared__head,head,far & sdr & ser,far,interchange,knockout,honest_accuracy_drop,-0.751
shared__head,head,far & sdr & ser,far,interchange,knockout,task_accuracy,0.0
shared__head,head,far & sdr & ser,far,interchange,knockout,wikitext_kl,1.4585315929725766
shared__head,head,far & sdr & ser,far,interchange,null,accuracy,0.0
shared__head,head,far & sdr & ser,far,interchange,null,exact_match,0.0
shared__head,head,far & sdr & ser,far,interchange,null,kl_div,100.0
shared__head,head,far & sdr & ser,far,interchange,null,logit_diff,100.0
shared__head,head,far & sdr & ser,far,interchange,pressure,circuit_logit_diff_honest_instruction,1.6515
shared__head,head,far & sdr & ser,far,interchange,pressure,circuit_logit_diff_with_pressure,-1.872125
shared__head,head,far & sdr & ser,far,interchange,pressure,delta,3.523625
shared__leaf,leaf,far & sdr & ser,sdr,interchange,knockout,honest_accuracy_drop,-0.44100000000000006
shared__leaf,leaf,far & sdr & ser,sdr,interchange,knockout,task_accuracy,0.035
shared__leaf,leaf,far & sdr & ser,sdr,interchange,knockout,wikitext_kl,0.07478872014326043
shared__leaf,leaf,far & sdr & ser,sdr,interchange,null,accuracy,0.0
shared__leaf,leaf,far & sdr & ser,sdr,interchange,null,exact_match,0.0
shared__leaf,leaf,far & sdr & ser,sdr,interchange,null,kl_div,100.0
shared__leaf,leaf,far & sdr & ser,sdr,interchange,null,logit_diff,100.0
shared__leaf,leaf,far & sdr & ser,sdr,interchange,pressure,circuit_logit_diff_honest_instruction,1.551
shared__leaf,leaf,far & sdr & ser,sdr,interchange,pressure,circuit_logit_diff_with_pressure,-1.78175
shared__leaf,leaf,far & sdr & ser,sdr,interchange,pressure,delta,3.33275
shared__head,head,far & sdr & ser,sdr,interchange,knockout,honest_accuracy_drop,-0.51
shared__head,head,far & sdr & ser,sdr,interchange,knockout,task_accuracy,0.0
shared__head,head,far & sdr & ser,sdr,interchange,knockout,wikitext_kl,1.4585315929725766
shared__head,head,far & sdr & ser,sdr,interchange,null,accuracy,0.0
shared__head,head,far & sdr & ser,sdr,interchange,null,exact_match,0.0
shared__head,head,far & sdr & ser,sdr,interchange,null,kl_div,100.0
shared__head,head,far & sdr & ser,sdr,interchange,null,logit_diff,100.0
shared__head,head,far & sdr & ser,sdr,interchange,pressure,circuit_logit_diff_honest_instruction,1.572375
shared__head,head,far & sdr & ser,sdr,interchange,pressure,circuit_logit_diff_with_pressure,-1.743375
shared__head,head,far & sdr & ser,sdr,interchange,pressure,delta,3.31575
shared__leaf,leaf,far & sdr & ser,ser,interchange,knockout,honest_accuracy_drop,0.055999999999999994
shared__leaf,leaf,far & sdr & ser,ser,interchange,knockout,task_accuracy,0.034
shared__leaf,leaf,far & sdr & ser,ser,interchange,knockout,wikitext_kl,0.07478872014326043
shared__leaf,leaf,far & sdr & ser,ser,interchange,null,accuracy,0.0
shared__leaf,leaf,far & sdr & ser,ser,interchange,null,exact_match,0.0
shared__leaf,leaf,far & sdr & ser,ser,interchange,null,kl_div,100.0
shared__leaf,leaf,far & sdr & ser,ser,interchange,null,logit_diff,100.0
shared__leaf,leaf,far & sdr & ser,ser,interchange,pressure,circuit_logit_diff_honest_instruction,-0.261
shared__leaf,leaf,far & sdr & ser,ser,interchange,pressure,circuit_logit_diff_with_pressure,-1.395
shared__leaf,leaf,far & sdr & ser,ser,interchange,pressure,delta,1.134
shared__head,head,far & sdr & ser,ser,interchange,knockout,honest_accuracy_drop,0.05299999999999999
shared__head,head,far & sdr & ser,ser,interchange,knockout,task_accuracy,0.0
shared__head,head,far & sdr & ser,ser,interchange,knockout,wikitext_kl,1.4585315929725766
shared__head,head,far & sdr & ser,ser,interchange,null,accuracy,0.0
shared__head,head,far & sdr & ser,ser,interchange,null,exact_match,0.0
shared__head,head,far & sdr & ser,ser,interchange,null,kl_div,100.0
shared__head,head,far & sdr & ser,ser,interchange,null,logit_diff,100.0
shared__head,head,far & sdr & ser,ser,interchange,pressure,circuit_logit_diff_honest_instruction,-0.09375
shared__head,head,far & sdr & ser,ser,interchange,pressure,circuit_logit_diff_with_pressure,-1.228
shared__head,head,far & sdr & ser,ser,interchange,pressure,delta,1.13425
