circuit,circuit_kind,expr,task,ablation,eval,metric,value
delta_far__leaf,leaf,farD-farH,far,interchange,knockout,honest_accuracy_drop,0.0030000000000000027
delta_far__leaf,leaf,farD-farH,far,interchange,knockout,task_accuracy,0.485
delta_far__leaf,leaf,farD-farH,far,interchange,knockout,wikitext_kl,0.09959009196609259
delta_far__leaf,leaf,farD-farH,far,interchange,null,accuracy,0.0
delta_far__leaf,leaf,farD-farH,far,interchange,null,exact_match,0.0
delta_far__leaf,leaf,farD-farH,far,interchange,null,kl_div,100.0
delta_far__leaf,leaf,farD-farH,far,interchange,null,logit_diff,100.0
delta_far__leaf,leaf,farD-farH,far,interchange,pressure,circuit_logit_diff_honest_instruction,1.379375
delta_far__leaf,leaf,farD-farH,far,interchange,pressure,circuit_logit_diff_with_pressure,-2.125125
delta_far__leaf,leaf,farD-farH,far,interchange,pressure,delta,3.5045
delta_far__head,head,farD-farH,far,interchange,knockout,honest_accuracy_drop,0.053
delta_far__head,head,farD-farH,far,interchange,knockout,task_accuracy,0.751
delta_far__head,head,farD-farH,far,interchange,knockout,wikitext_kl,0.04668141003639903
delta_far__head,head,farD-farH,far,interchange,null,accuracy,0.0
delta_far__head,head,farD-farH,far,interchange,null,exact_match,0.0
delta_far__head,head,farD-farH,far,interchange,null,kl_div,98.0
delta_far__head,head,farD-farH,far,interchange,null,logit_diff,98.0
delta_far__head,head,farD-farH,far,interchange,pressure,circuit_logit_diff_honest_instruction,1.373
delta_far__head,head,farD-farH,far,interchange,pressure,circuit_logit_diff_with_pressure,-2.130625
delta_far__head,head,farD-farH,far,interchange,pressure,delta,3.5036250000000004
