circuit,circuit_kind,expr,task,ablation,eval,metric,value
far,atomic,,std,interchange,knockout,honest_accuracy_drop,0.18800000000000006
far,atomic,,std,interchange,knockout,task_accuracy,0.596
far,atomic,,std,interchange,knockout,wikitext_kl,0.3265542514855042
far,atomic,,std,interchange,null,accuracy,0.0
far,atomic,,std,interchange,null,exact_match,0.0
far,atomic,,std,interchange,null,kl_div,100.0
far,atomic,,std,interchange,null,logit_diff,100.0
far,atomic,,std,interchange,pressure,circuit_logit_diff_honest_instruction,-1.1955
far,atomic,,std,interchange,pressure,circuit_logit_diff_with_pressure,-1.809125
far,atomic,,std,interchange,pressure,delta,0.6136250000000001
sdr,atomic,,std,interchange,knockout,honest_accuracy_drop,0.56
sdr,atomic,,std,interchange,knockout,task_accuracy,0.025
sdr,atomic,,std,interchange,knockout,wikitext_kl,1.3825197461992502
sdr,atomic,,std,interchange,null,accuracy,0.0
sdr,atomic,,std,interchange,null,exact_match,0.0
sdr,atomic,,std,interchange,null,kl_div,100.0
sdr,atomic,,std,interchange,null,logit_diff,100.0
sdr,atomic,,std,interchange,pressure,circuit_logit_diff_honest_instruction,-1.19825
sdr,atomic,,std,interchange,pressure,circuit_logit_diff_with_pressure,-1.81375
sdr,atomic,,std,interchange,pressure,delta,0.6154999999999999
ser,atomic,,std,interchange,knockout,honest_accuracy_drop,0.19600000000000006
ser,atomic,,std,interchange,knockout,task_accuracy,0.555
ser,atomic,,std,interchange,knockout,wikitext_kl,0.9887843327596784
ser,atomic,,std,interchange,null,accuracy,0.0
ser,atomic,,std,interchange,null,exact_match,0.0
ser,atomic,,std,interchange,null,kl_div,0.0
ser,atomic,,std,interchange,null,logit_diff,0.0
ser,atomic,,std,interchange,pressure,circuit_logit_diff_honest_instruction,-1.233875
ser,atomic,,std,interchange,pressure,circuit_logit_diff_with_pressure,-1.8535
ser,atomic,,std,interchange,pressure,delta,0.6196249999999999
