circuit,circuit_kind,expr,task,ablation,eval,metric,value
delta_sdr__leaf,leaf,sdrD-sdrH,sdr,interchange,knockout,honest_accuracy_drop,-0.16
delta_sdr__leaf,leaf,sdrD-sdrH,sdr,interchange,knockout,task_accuracy,0.075
delta_sdr__leaf,leaf,sdrD-sdrH,sdr,interchange,knockout,wikitext_kl,0.6589056733064353
delta_sdr__leaf,leaf,sdrD-sdrH,sdr,interchange,null,accuracy,0.0
delta_sdr__leaf,leaf,sdrD-sdrH,sdr,interchange,null,exact_match,0.0
delta_sdr__leaf,leaf,sdrD-sdrH,sdr,interchange,null,kl_div,20.0
delta_sdr__leaf,leaf,sdrD-sdrH,sdr,interchange,null,logit_diff,22.0
delta_sdr__leaf,leaf,sdrD-sdrH,sdr,interchange,pressure,circuit_logit_diff_honest_instruction,1.549125
delta_sdr__leaf,leaf,sdrD-sdrH,sdr,interchange,pressure,circuit_logit_diff_with_pressure,-1.783875
delta_sdr__leaf,leaf,sdrD-sdrH,sdr,interchange,pressure,delta,3.333
delta_sdr__head,head,sdrD-sdrH,sdr,interchange,knockout,honest_accuracy_drop,-0.017999999999999988
delta_sdr__head,head,sdrD-sdrH,sdr,interchange,knockout,task_accuracy,0.643
delta_sdr__head,head,sdrD-sdrH,sdr,interchange,knockout,wikitext_kl,0.5744406841695309
delta_sdr__head,head,sdrD-sdrH,sdr,interchange,null,accuracy,0.0
delta_sdr__head,head,sdrD-sdrH,sdr,interchange,null,exact_match,0.0
delta_sdr__head,head,sdrD-sdrH,sdr,interchange,null,kl_div,100.0
delta_sdr__head,head,sdrD-sdrH,sdr,interchange,null,logit_diff,100.0
delta_sdr__head,head,sdrD-sdrH,sdr,interchange,pressure,circuit_logit_diff_honest_instruction,1.5525
delta_sdr__head,head,sdrD-sdrH,sdr,interchange,pressure,circuit_logit_diff_with_pressure,-1.7825
delta_sdr__head,head,sdrD-sdrH,sdr,interchange,pressure,delta,3.335
