circuit,circuit_kind,expr,task,ablation,eval,metric,value
delta_ser__leaf,leaf,serD-serH,ser,interchange,knockout,honest_accuracy_drop,0.08333333333333337
delta_ser__leaf,leaf,serD-serH,ser,interchange,knockout,task_accuracy,0.5833333333333334
delta_ser__leaf,leaf,serD-serH,ser,interchange,knockout,wikitext_kl,0.29517840570770204
delta_ser__leaf,leaf,serD-serH,ser,interchange,null,accuracy,0.0
delta_ser__leaf,leaf,serD-serH,ser,interchange,null,exact_match,0.0
delta_ser__leaf,leaf,serD-serH,ser,interchange,null,kl_div,100.0
delta_ser__leaf,leaf,serD-serH,ser,interchange,null,logit_diff,100.0
delta_ser__leaf,leaf,serD-serH,ser,interchange,pressure,circuit_logit_diff_honest_instruction,-0.057291666666666664
delta_ser__leaf,leaf,serD-serH,ser,interchange,pressure,circuit_logit_diff_with_pressure,-1.3697916666666667
delta_ser__leaf,leaf,serD-serH,ser,interchange,pressure,delta,1.3125
delta_ser__head,head,serD-serH,ser,interchange,knockout,honest_accuracy_drop,0.0
delta_ser__head,head,serD-serH,ser,interchange,knockout,task_accuracy,0.5833333333333334
delta_ser__head,head,serD-serH,ser,interchange,knockout,wikitext_kl,0.026975586013577413
delta_ser__head,head,serD-serH,ser,interchange,null,accuracy,0.0
delta_ser__head,head,serD-serH,ser,interchange,null,exact_match,0.0
delta_ser__head,head,serD-serH,ser,interchange,null,kl_div,100.0
delta_ser__head,head,serD-serH,ser,interchange,null,logit_diff,68.0
delta_ser__head,head,serD-serH,ser,interchange,pressure,circuit_logit_diff_honest_instruction,-0.057291666666666664
delta_ser__head,head,serD-serH,ser,interchange,pressure,circuit_logit_diff_with_pressure,-1.3802083333333333
delta_ser__head,head,serD-serH,ser,interchange,pressure,delta,1.3229166666666665
