circuit,circuit_kind,expr,task,ablation,eval,metric,value
std,atomic,,far,interchange,knockout,honest_accuracy_drop,-0.642
std,atomic,,far,interchange,knockout,task_accuracy,0.494
std,atomic,,far,interchange,knockout,wikitext_kl,1.1379331666976213
std,atomic,,far,interchange,null,accuracy,0.0
std,atomic,,far,interchange,null,exact_match,0.0
std,atomic,,far,interchange,null,kl_div,48.0
std,atomic,,far,interchange,null,logit_diff,36.0
std,atomic,,far,interchange,pressure,circuit_logit_diff_honest_instruction,1.3715
std,atomic,,far,interchange,pressure,circuit_logit_diff_with_pressure,-2.13175
std,atomic,,far,interchange,pressure,delta,3.5032499999999995
std,atomic,,sdr,interchange,knockout,honest_accuracy_drop,-0.29500000000000004
std,atomic,,sdr,interchange,knockout,task_accuracy,0.114
std,atomic,,sdr,interchange,knockout,wikitext_kl,1.1379331666976213
std,atomic,,sdr,interchange,null,accuracy,0.0
std,atomic,,sdr,interchange,null,exact_match,0.0
std,atomic,,sdr,interchange,null,kl_div,60.0
std,atomic,,sdr,interchange,null,logit_diff,64.0
std,atomic,,sdr,interchange,pressure,circuit_logit_diff_honest_instruction,1.553125
std,atomic,,sdr,interchange,pressure,circuit_logit_diff_with_pressure,-1.78325
std,atomic,,sdr,interchange,pressure,delta,3.3363750000000003
std,atomic,,ser,interchange,knockout,honest_accuracy_drop,0.04166666666666663
std,atomic,,ser,interchange,knockout,task_accuracy,0.5833333333333334
std,atomic,,ser,interchange,knockout,wikitext_kl,1.1379331666976213
std,atomic,,ser,interchange,null,accuracy,0.0
std,atomic,,ser,interchange,null,exact_match,0.0
std,atomic,,ser,interchange,null,kl_div,98.0
std,atomic,,ser,interchange,null,logit_diff,80.0
std,atomic,,ser,interchange,pressure,circuit_logit_diff_honest_instruction,-0.052083333333333336
std,atomic,,ser,interchange,pressure,circuit_logit_diff_with_pressure,-1.375
std,atomic,,ser,interchange,pressure,delta,1.3229166666666667
